"id","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
539597,367640910,"2023-05-29 01:39:35",29.69107,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
539619,367640910,"2023-05-29 01:38:25",29.69094,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
545606,367640910,"2023-05-29 01:40:44",29.69103,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
561605,367640910,"2023-05-29 00:39:15",29.69099,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
561614,367640910,"2023-05-29 01:43:05",29.69098,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
585859,367640910,"2023-05-29 01:47:35",29.69095,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
594014,367640910,"2023-05-29 01:46:34",29.69095,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
594027,367640910,"2023-05-29 01:44:16",29.69098,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
594088,367640910,"2023-05-29 01:48:44",29.69093,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
608349,367640910,"2023-05-29 01:52:05",29.691,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
619180,367640910,"2023-05-29 01:53:16",29.69099,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
619232,367640910,"2023-05-29 01:51:04",29.69099,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
626786,367640910,"2023-05-29 01:54:25",29.69097,-91.09838,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
629276,367640910,"2023-05-29 01:49:54",29.69092,-91.09845,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
632734,367640910,"2023-05-29 01:55:34",29.69102,-91.09845,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
644690,367640910,"2023-05-29 01:56:44",29.69098,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
644784,367640910,"2023-05-29 01:59:04",29.69094,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
648652,367640910,"2023-05-29 01:34:55",29.69099,-91.09845,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
655159,367640910,"2023-05-29 02:00:05",29.69096,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
655162,367640910,"2023-05-29 01:57:54",29.69097,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
656708,367640910,"2023-05-29 02:01:15",29.691,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
676935,367640910,"2023-05-29 02:02:24",29.69096,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
